"State","Current_2020","total2030_linear_reg_hill_huntington","total2030_linear_reg_jefferson","total2030_linear_reg_adams","total2030_linear_reg_webster","total2030_polynomial_hill_huntington","total2030_polynomial_jefferson","total2030_polynomial_adams","total2030_polynomial_webster","total2030_weighted_hill_huntington","total2030_weighted_jefferson","total2030_weighted_adams","total2030_weighted_webster","citizen2030_linear_reg_hill_huntington","citizen2030_linear_reg_jefferson","citizen2030_linear_reg_adams","citizen2030_linear_reg_webster","citizen2030_polynomial_hill_huntington","citizen2030_polynomial_jefferson","citizen2030_polynomial_adams","citizen2030_polynomial_webster","citizen2030_weighted_hill_huntington","citizen2030_weighted_jefferson","citizen2030_weighted_adams","citizen2030_weighted_webster","change_hh_total_linear"
"Alabama",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
"Alaska",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0
"Arizona",9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1
"Arkansas",4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,0
"California",52,47,50,46,48,46,49,45,47,48,50,46,48,45,47,43,45,43,45,42,44,45,47,43,45,-5
"Colorado",8,8,8,8,8,7,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
"Connecticut",5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,4,5,4,5,4,5,5,0
"Delaware",1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,0
"Florida",28,30,32,29,30,35,37,33,35,31,32,30,31,29,30,28,30,32,34,31,32,30,31,29,30,2
"Georgia",14,15,15,14,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,14,15,15,15,15,15,1
"Hawaii",2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,0
"Idaho",2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
"Illinois",17,15,16,15,15,15,15,15,15,15,16,15,15,15,16,15,15,15,15,14,15,15,16,15,15,-2
"Indiana",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"Iowa",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,0
"Kansas",4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
"Kentucky",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,0
"Louisiana",6,6,5,6,6,5,5,6,5,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,0
"Maine",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"Maryland",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
"Massachusetts",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"Michigan",13,13,13,13,13,12,13,12,12,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,0
"Minnesota",8,7,7,8,7,7,7,7,7,7,7,7,7,8,8,8,8,8,7,8,8,8,8,8,8,-1
"Mississippi",4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,0
"Missouri",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
"Montana",2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,0
"Nebraska",3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,0
"Nevada",4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,0
"New Hampshire",2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"New Jersey",12,12,13,12,12,11,11,11,11,12,13,12,12,12,12,12,12,11,11,11,11,12,12,12,12,0
"New Mexico",3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2,2,3,2,3,2,3,3,0
"New York",26,25,26,24,25,21,22,21,21,24,25,24,24,24,25,24,24,20,21,19,20,24,25,23,24,-1
"North Carolina",14,14,15,14,14,15,16,15,15,14,15,14,14,14,15,14,15,16,16,16,16,15,15,14,15,0
"North Dakota",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,0
"Ohio",15,15,15,15,15,15,15,14,15,15,15,15,15,16,16,15,16,16,16,15,16,16,16,15,16,0
"Oklahoma",5,5,5,5,5,6,5,6,6,5,5,6,5,5,5,6,5,6,6,6,6,5,5,6,5,0
"Oregon",6,5,5,6,5,5,5,5,5,5,5,6,5,6,5,6,6,5,5,5,5,5,5,6,6,-1
"Pennsylvania",17,17,17,16,17,16,16,15,16,16,17,16,16,17,18,17,17,16,17,16,16,17,17,17,17,0
"Rhode Island",2,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,0
"South Carolina",7,7,7,7,7,8,8,8,8,7,7,7,7,7,7,8,7,9,9,9,9,8,7,8,8,0
"South Dakota",1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,0
"Tennessee",9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1
"Texas",38,41,43,40,41,45,47,43,45,41,44,40,42,40,42,38,40,43,45,42,43,40,42,39,40,3
"Utah",4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1
"Vermont",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Virginia",11,11,11,11,11,11,12,11,11,11,11,11,11,12,12,11,12,11,12,11,12,11,12,11,11,0
"Washington",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
"West Virginia",2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,3,2,3,2,2,2,3,2,0
"Wisconsin",8,8,8,8,8,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
"Wyoming",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
