State,Dirict,Name,Party,Office Room,Phone,Committee Assignment
Alabama,1,"Moore, Barry(link is external)",R,1511 LHOB,(202) 225-2901,Agriculture|Judiciary
Alabama,2,"Figures, Shomari(link is external)",D,225 CHOB,(202) 225-4931,Agriculture|Transportation and Infrastructure
Alabama,3,"Rogers, Mike(link is external)",R,2469 RHOB,(202) 225-3261,Armed Services
Alabama,4,"Aderholt, Robert(link is external)",R,272 CHOB,(202) 225-4876,Appropriations
Alabama,5,"Strong, Dale(link is external)",R,449 CHOB,(202) 225-4801,Appropriations|Homeland Security
Alabama,6,"Palmer, Gary(link is external)",R,170 CHOB,(202) 225-4921,Oversight and Government Reform|Energy and Commerce
Alabama,7,"Sewell, Terri(link is external)",D,1035 LHOB,(202) 225-2665,House Administration|Ways and Means
Alaska,1,"Begich, Nicholas(link is external)",R,153 CHOB,(202) 225-5765,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
Arizona,1,"Schweikert, David(link is external)",R,166 CHOB,(202) 225-2190,Ways and Means
Arizona,2,"Crane, Elijah(link is external)",R,307 CHOB,(202) 225-3361,Oversight and Government Reform|Homeland Security
Arizona,3,"Ansari, Yassamin(link is external)",D,1432 LHOB,(202) 225-4065,Education and Workforce|Oversight and Government Reform|Natural Resources
Arizona,4,"Stanton, Greg(link is external)",D,207 CHOB,(202) 225-9888,Foreign Affairs|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
Arizona,5,"Biggs, Andy(link is external)",R,464 CHOB,(202) 225-2635,Oversight and Government Reform|Judiciary
Arizona,6,"Ciscomani, Juan(link is external)",R,461 CHOB,(202) 225-2542,Appropriations|Veterans' Affairs
Arizona,7,"Grijalva, Raúl M.(link is external)- Vacancy",D,1203 LHOB,(202) 225-2435,
Arizona,8,"Hamadeh, Abraham(link is external)",R,1722 LHOB,(202) 225-4576,Armed Services|Veterans' Affairs
Arizona,9,"Gosar, Paul(link is external)",R,2057 RHOB,(202) 225-2315,Oversight and Government Reform|Natural Resources
Arkansas,1,"Crawford, Eric(link is external)",R,2422 RHOB,(202) 225-4076,Agriculture|Intelligence|Transportation and Infrastructure
Arkansas,2,"Hill, J.(link is external)",R,1533 LHOB,(202) 225-2506,Financial Services|Intelligence
Arkansas,3,"Womack, Steve(link is external)",R,2412 RHOB,(202) 225-4301,Appropriations
Arkansas,4,"Westerman, Bruce(link is external)",R,202 CHOB,(202) 225-3772,Natural Resources|Transportation and Infrastructure
California,1,"LaMalfa, Doug(link is external)",R,408 CHOB,(202) 225-3076,Agriculture|Natural Resources|Transportation and Infrastructure
California,2,"Huffman, Jared(link is external)",D,2330 RHOB,(202) 225-5161,Natural Resources|Transportation and Infrastructure
California,3,"Kiley, Kevin(link is external)",R,2445 RHOB,(202) 225-2523,Education and Workforce|Judiciary|Transportation and Infrastructure
California,4,"Thompson, Mike(link is external)",D,268 CHOB,(202) 225-3311,Ways and Means
California,5,"McClintock, Tom(link is external)",R,2256 RHOB,(202) 225-2511,Budget|Natural Resources|Judiciary
California,6,"Bera, Ami(link is external)",D,172 CHOB,(202) 225-5716,Foreign Affairs|Intelligence
California,7,"Matsui, Doris(link is external)",D,2206 RHOB,(202) 225-7163,Energy and Commerce
California,8,"Garamendi, John(link is external)",D,2428 RHOB,(202) 225-1880,Armed Services|Transportation and Infrastructure
California,9,"Harder, Josh(link is external)",D,209 CHOB,(202) 225-4540,Appropriations
California,10,"DeSaulnier, Mark(link is external)",D,2134 RHOB,(202) 225-2095,Education and Workforce|Transportation and Infrastructure|Ethics
California,11,"Pelosi, Nancy(link is external)",D,1236 LHOB,(202) 225-4965,
California,12,"Simon, Lateefah(link is external)",D,1023 LHOB,(202) 225-2661,Oversight and Government Reform|Small Business
California,13,"Gray, Adam(link is external)",D,1230 LHOB,(202) 225-1947,Agriculture|Natural Resources
California,14,"Swalwell, Eric(link is external)",D,174 CHOB,(202) 225-5065,Homeland Security|Judiciary
California,15,"Mullin, Kevin(link is external)",D,1404 LHOB,(202) 225-3531,Energy and Commerce
California,16,"Liccardo, Sam(link is external)",D,1117 LHOB,(202) 225-8104,Financial Services
California,17,"Khanna, Ro(link is external)",D,306 CHOB,(202) 225-2631,Armed Services|Oversight and Government Reform|Select Comm on the Strategic Competition US and China
California,18,"Lofgren, Zoe(link is external)",D,1401 LHOB,(202) 225-3072,"Judiciary|Science, Space, and Technology"
California,19,"Panetta, Jimmy(link is external)",D,200 CHOB,(202) 225-2861,Budget|Ways and Means
California,20,"Fong, Vince(link is external)",R,243 CHOB,(202) 225-2915,"Transportation and Infrastructure|Science, Space, and Technology"
California,21,"Costa, Jim(link is external)",D,2081 RHOB,(202) 225-3341,Agriculture|Foreign Affairs
California,22,"Valadao, David(link is external)",R,2465 RHOB,(202) 225-4695,Appropriations|Joint Committee of Congress on the Library
California,23,"Obernolte, Jay(link is external)",R,2433 RHOB,(202) 225-5861,"Budget|Energy and Commerce|Science, Space, and Technology"
California,24,"Carbajal, Salud(link is external)",D,2331 RHOB,(202) 225-3601,Agriculture|Armed Services|Transportation and Infrastructure
California,25,"Ruiz, Raul(link is external)",D,2342 RHOB,(202) 225-5330,Energy and Commerce
California,26,"Brownley, Julia(link is external)",D,2262 RHOB,(202) 225-5811,Natural Resources|Transportation and Infrastructure|Veterans' Affairs
California,27,"Whitesides, George(link is external)",D,1504 LHOB,(202) 225-1956,"Armed Services|Science, Space, and Technology"
California,28,"Chu, Judy(link is external)",D,2423 RHOB,(202) 225-5464,Budget|Ways and Means
California,29,"Rivas, Luz(link is external)",D,1319 LHOB,(202) 225-6131,"Natural Resources|Science, Space, and Technology"
California,30,"Friedman, Laura(link is external)",D,1517 LHOB,(202) 225-4176,"Transportation and Infrastructure|Science, Space, and Technology"
California,31,"Cisneros, Gilbert(link is external)",D,2463 RHOB,(202) 225-5256,Armed Services|Small Business
California,32,"Sherman, Brad(link is external)",D,2365 RHOB,(202) 225-5911,Financial Services|Foreign Affairs
California,33,"Aguilar, Pete(link is external)",D,108 CHOB,(202) 225-3201,Appropriations
California,34,"Gomez, Jimmy(link is external)",D,506 CHOB,(202) 225-6235,Intelligence|Ways and Means
California,35,"Torres, Norma(link is external)",D,2227 RHOB,(202) 225-6161,Appropriations|House Administration
California,36,"Lieu, Ted(link is external)",D,2454 RHOB,(202) 225-3976,Foreign Affairs|Judiciary
California,37,"Kamlager-Dove, Sydney(link is external)",D,144 CHOB,(202) 225-7084,Foreign Affairs|Judiciary
California,38,"Sanchez, Linda(link is external)",D,2309 RHOB,(202) 225-6676,Ways and Means
California,39,"Takano, Mark(link is external)",D,2078 RHOB,(202) 225-2305,Education and Workforce|Veterans' Affairs
California,40,"Kim, Young(link is external)",R,2439 RHOB,(202) 225-4111,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China
California,41,"Calvert, Ken(link is external)",R,2205 RHOB,(202) 225-1986,Appropriations
California,42,"Garcia, Robert(link is external)",D,109 CHOB,(202) 225-7924,Oversight and Government Reform|Transportation and Infrastructure
California,43,"Waters, Maxine(link is external)",D,2221 RHOB,(202) 225-2201,Financial Services
California,44,"Barragan, Nanette(link is external)",D,2312 RHOB,(202) 225-8220,Energy and Commerce
California,45,"Tran, Derek(link is external)",D,1127 LHOB,(202) 225-2415,Armed Services|Small Business
California,46,"Correa, J.(link is external)",D,2082 RHOB,(202) 225-2965,Homeland Security|Judiciary
California,47,"Min, Dave(link is external)",D,1034 LHOB,(202) 225-5611,Oversight and Government Reform|Natural Resources
California,48,"Issa, Darrell(link is external)",R,2108 RHOB,(202) 225-5672,"Foreign Affairs|Judiciary|Science, Space, and Technology"
California,49,"Levin, Mike(link is external)",D,2352 RHOB,(202) 225-3906,Appropriations
California,50,"Peters, Scott(link is external)",D,2369 RHOB,(202) 225-0508,Budget|Energy and Commerce
California,51,"Jacobs, Sara(link is external)",D,2348 RHOB,(202) 225-2040,Armed Services|Foreign Affairs
California,52,"Vargas, Juan(link is external)",D,2467 RHOB,(202) 225-8045,Financial Services
Colorado,1,"DeGette, Diana(link is external)",D,2111 RHOB,(202) 225-4431,Energy and Commerce
Colorado,2,"Neguse, Joe(link is external)",D,2400 RHOB,(202) 225-2161,Natural Resources|Judiciary|Rules
Colorado,3,"Hurd, Jeff(link is external)",R,1641 LHOB,(202) 225-4676,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
Colorado,4,"Boebert, Lauren(link is external)",R,1713 LHOB,(202) 225-4761,Oversight and Government Reform|Natural Resources
Colorado,5,"Crank, Jeff(link is external)",R,1029 LHOB,(202) 225-4422,Armed Services|Natural Resources
Colorado,6,"Crow, Jason(link is external)",D,1323 LHOB,(202) 225-7882,Armed Services|Intelligence
Colorado,7,"Pettersen, Brittany(link is external)",D,348 CHOB,(202) 225-2645,Financial Services
Colorado,8,"Evans, Gabe(link is external)",R,1229 LHOB,(202) 225-5625,Homeland Security|Energy and Commerce
Connecticut,1,"Larson, John(link is external)",D,1501 LHOB,(202) 225-2265,Ways and Means
Connecticut,2,"Courtney, Joe(link is external)",D,2449 RHOB,(202) 225-2076,Armed Services|Education and Workforce
Connecticut,3,"DeLauro, Rosa(link is external)",D,2413 RHOB,(202) 225-3661,Appropriations
Connecticut,4,"Himes, James(link is external)",D,2137 RHOB,(202) 225-5541,Financial Services|Intelligence
Connecticut,5,"Hayes, Jahana(link is external)",D,2049 RHOB,(202) 225-4476,Agriculture|Education and Workforce
Delaware,1,"McBride, Sarah(link is external)",D,1306 LHOB,(202) 225-4165,"Foreign Affairs|Science, Space, and Technology"
Florida,1,"Patronis, Jimmy(link is external)",R,2021 RHOB,(202) 225-4136,Transportation and Infrastructure|Small Business
Florida,2,"Dunn, Neal(link is external)",R,466 CHOB,(202) 225-5235,Energy and Commerce|Select Comm on the Strategic Competition US and China
Florida,3,"Cammack, Kat(link is external)",R,2421 RHOB,(202) 225-5744,Agriculture|Energy and Commerce
Florida,4,"Bean, Aaron(link is external)",R,2459 RHOB,(202) 225-0123,Ways and Means
Florida,5,"Rutherford, John(link is external)",R,1711 LHOB,(202) 225-2501,Appropriations|Ethics
Florida,6,"Fine, Randy(link is external)",R,244 CHOB,(202) 225-2706,Education and Workforce
Florida,7,"Mills, Cory(link is external)",R,346 CHOB,(202) 225-4035,Armed Services|Foreign Affairs
Florida,8,"Haridopolos, Mike(link is external)",R,1039 LHOB,(202) 225-3671,"Financial Services|Science, Space, and Technology"
Florida,9,"Soto, Darren(link is external)",D,2353 RHOB,(202) 225-9889,Energy and Commerce|Natural Resources
Florida,10,"Frost, Maxwell(link is external)",D,1224 LHOB,(202) 225-2176,"Oversight and Government Reform|Science, Space, and Technology"
Florida,11,"Webster, Daniel(link is external)",R,2184 RHOB,(202) 225-1002,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
Florida,12,"Bilirakis, Gus(link is external)",R,2306 RHOB,(202) 225-5755,Energy and Commerce|Select Comm on the Strategic Competition US and China
Florida,13,"Luna, Anna Paulina(link is external)",R,226 CHOB,(202) 225-5961,Foreign Affairs|Oversight and Government Reform
Florida,14,"Castor, Kathy(link is external)",D,2188 RHOB,(202) 225-3376,Energy and Commerce|Select Comm on the Strategic Competition US and China
Florida,15,"Lee, Laurel(link is external)",R,2464 RHOB,(202) 225-5626,House Administration|Energy and Commerce|Judiciary
Florida,16,"Buchanan, Vern(link is external)",R,2409 RHOB,(202) 225-5015,Joint Committee on Taxation|Ways and Means
Florida,17,"Steube, W.(link is external)",R,2457 RHOB,(202) 225-5792,Intelligence|Ways and Means
Florida,18,"Franklin, Scott(link is external)",R,2301 RHOB,(202) 225-1252,"Appropriations|Science, Space, and Technology"
Florida,19,"Donalds, Byron(link is external)",R,1710 LHOB,(202) 225-2536,Financial Services|Oversight and Government Reform
Florida,20,"Cherfilus-McCormick, Sheila(link is external)",D,2442 RHOB,(202) 225-1313,Foreign Affairs|Veterans' Affairs
Florida,21,"Mast, Brian(link is external)",R,2182 RHOB,(202) 225-3026,Foreign Affairs|Transportation and Infrastructure
Florida,22,"Frankel, Lois(link is external)",D,2305 RHOB,(202) 225-9890,Appropriations
Florida,23,"Moskowitz, Jared(link is external)",D,242 CHOB,(202) 225-3001,Foreign Affairs|Judiciary
Florida,24,"Wilson, Frederica(link is external)",D,2080 RHOB,(202) 225-4506,Education and Workforce|Transportation and Infrastructure
Florida,25,"Wasserman Schultz, Debbie(link is external)",D,270 CHOB,(202) 225-7931,Appropriations
Florida,26,"Diaz-Balart, Mario(link is external)",R,374 CHOB,(202) 225-4211,Appropriations
Florida,27,"Salazar, Maria(link is external)",R,2162 RHOB,(202) 225-3931,Financial Services|Foreign Affairs
Florida,28,"Gimenez, Carlos(link is external)",R,448 CHOB,(202) 225-2778,Armed Services|Homeland Security|Select Comm on the Strategic Competition US and China
Georgia,1,"Carter, Earl(link is external)",R,2432 RHOB,(202) 225-5831,Budget|Energy and Commerce
Georgia,2,"Bishop, Sanford(link is external)",D,2407 RHOB,(202) 225-3631,Appropriations
Georgia,3,"Jack, Brian(link is external)",R,1320 LHOB,(202) 225-5901,Oversight and Government Reform|Rules|Small Business
Georgia,4,"Johnson, Henry(link is external)",D,2240 RHOB,(202) 225-1605,Judiciary|Transportation and Infrastructure
Georgia,5,"Williams, Nikema(link is external)",D,1406 LHOB,(202) 225-3801,Financial Services
Georgia,6,"McBath, Lucy(link is external)",D,2246 RHOB,(202) 225-4501,Education and Workforce|Judiciary
Georgia,7,"McCormick, Richard(link is external)",R,1719 LHOB,(202) 225-4272,"Armed Services|Foreign Affairs|Science, Space, and Technology"
Georgia,8,"Scott, Austin(link is external)",R,2185 RHOB,(202) 225-6531,Agriculture|Armed Services|Intelligence|Rules
Georgia,9,"Clyde, Andrew(link is external)",R,445 CHOB,(202) 225-9893,Appropriations|Budget
Georgia,10,"Collins, Mike(link is external)",R,2351 RHOB,(202) 225-4101,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
Georgia,11,"Loudermilk, Barry(link is external)",R,2133 RHOB,(202) 225-2931,Financial Services|House Administration
Georgia,12,"Allen, Rick(link is external)",R,462 CHOB,(202) 225-2823,Education and Workforce|Energy and Commerce
Georgia,13,"Scott, David(link is external)",D,468 CHOB,(202) 225-2939,Agriculture|Financial Services
Georgia,14,"Greene, Marjorie(link is external)",R,2201 RHOB,(202) 225-5211,Oversight and Government Reform|Homeland Security
Guam,Delegate,"Moylan, James(link is external)",R,228 CHOB,(202) 225-1188,Armed Services|Education and Workforce|Foreign Affairs
Hawaii,1,"Case, Ed(link is external)",D,2210 RHOB,(202) 225-2726,Appropriations
Hawaii,2,"Tokuda, Jill(link is external)",D,1027 LHOB,(202) 225-4906,Agriculture|Armed Services|Select Comm on the Strategic Competition US and China
Idaho,1,"Fulcher, Russ(link is external)",R,1514 LHOB,(202) 225-6611,Energy and Commerce|Natural Resources
Idaho,2,"Simpson, Michael(link is external)",R,2084 RHOB,(202) 225-5531,Appropriations
Illinois,1,"Jackson, Jonathan(link is external)",D,1632 LHOB,(202) 225-4372,Agriculture|Foreign Affairs
Illinois,2,"Kelly, Robin(link is external)",D,2329 RHOB,(202) 225-0773,Energy and Commerce
Illinois,3,"Ramirez, Delia(link is external)",D,1523 LHOB,(202) 225-5701,Homeland Security|Veterans' Affairs
Illinois,4,"Garcia, Jesus(link is external)",D,2334 RHOB,(202) 225-8203,Judiciary|Transportation and Infrastructure
Illinois,5,"Quigley, Mike(link is external)",D,2083 RHOB,(202) 225-4061,Appropriations|Intelligence
Illinois,6,"Casten, Sean(link is external)",D,2440 RHOB,(202) 225-4561,Financial Services
Illinois,7,"Davis, Danny(link is external)",D,2159 RHOB,(202) 225-5006,Ways and Means
Illinois,8,"Krishnamoorthi, Raja(link is external)",D,2367 RHOB,(202) 225-3711,Oversight and Government Reform|Intelligence|Select Comm on the Strategic Competition US and China
Illinois,9,"Schakowsky, Janice(link is external)",D,2408 RHOB,(202) 225-2111,Energy and Commerce
Illinois,10,"Schneider, Bradley(link is external)",D,300 CHOB,(202) 225-4835,Foreign Affairs|Ways and Means
Illinois,11,"Foster, Bill(link is external)",D,2366 RHOB,(202) 225-3515,"Financial Services|Science, Space, and Technology"
Illinois,12,"Bost, Mike(link is external)",R,352 CHOB,(202) 225-5661,Agriculture|Transportation and Infrastructure|Veterans' Affairs
Illinois,13,"Budzinski, Nikki(link is external)",D,1717 LHOB,(202) 225-2371,Agriculture|Veterans' Affairs
Illinois,14,"Underwood, Lauren(link is external)",D,2228 RHOB,(202) 225-2976,Appropriations
Illinois,15,"Miller, Mary(link is external)",R,1740 LHOB,(202) 225-5271,Agriculture|Education and Workforce|House Administration
Illinois,16,"LaHood, Darin(link is external)",R,503 CHOB,(202) 225-6201,Intelligence|Ways and Means|Select Comm on the Strategic Competition US and China
Illinois,17,"Sorensen, Eric(link is external)",D,1314 LHOB,(202) 225-5905,Agriculture|Armed Services
Indiana,1,"Mrvan, Frank(link is external)",D,2441 RHOB,(202) 225-2461,Appropriations
Indiana,2,"Yakym, Rudy(link is external)",R,349 CHOB,(202) 225-3915,Ways and Means
Indiana,3,"Stutzman, Marlin(link is external)",R,404 CHOB,(202) 225-4436,Financial Services|Budget
Indiana,4,"Baird, James(link is external)",R,2303 RHOB,(202) 225-5037,"Agriculture|Foreign Affairs|Science, Space, and Technology"
Indiana,5,"Spartz, Victoria(link is external)",R,1609 LHOB,(202) 225-2276,
Indiana,6,"Shreve, Jefferson(link is external)",R,224 CHOB,(202) 225-3021,Foreign Affairs|Transportation and Infrastructure
Indiana,7,"Carson, Andre(link is external)",D,2135 RHOB,(202) 225-4011,Intelligence|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
Indiana,8,"Messmer, Mark(link is external)",R,1208 LHOB,(202) 225-4636,Agriculture|Armed Services|Education and Workforce
Indiana,9,"Houchin, Erin(link is external)",R,342 CHOB,(202) 225-5315,Budget|Energy and Commerce|Rules
Iowa,1,"Miller-Meeks, Mariannette(link is external)",R,504 CHOB,(202) 225-6576,Energy and Commerce|Veterans' Affairs
Iowa,2,"Hinson, Ashley(link is external)",R,2458 RHOB,(202) 225-2911,Appropriations|Ethics|Select Comm on the Strategic Competition US and China
Iowa,3,"Nunn, Zachary(link is external)",R,1410 LHOB,(202) 225-5476,Agriculture|Financial Services|Select Comm on the Strategic Competition US and China
Iowa,4,"Feenstra, Randy(link is external)",R,2434 RHOB,(202) 225-4426,Agriculture|Ways and Means
Kansas,1,"Mann, Tracey(link is external)",R,344 CHOB,(202) 225-2715,Agriculture|Transportation and Infrastructure
Kansas,2,"Schmidt, Derek(link is external)",R,1223 LHOB,(202) 225-6601,Armed Services|Judiciary|Small Business
Kansas,3,"Davids, Sharice(link is external)",D,2435 RHOB,(202) 225-2865,Agriculture|Transportation and Infrastructure
Kansas,4,"Estes, Ron(link is external)",R,2234 RHOB,(202) 225-6216,Budget|Ways and Means
Kentucky,1,"Comer, James(link is external)",R,2410 RHOB,(202) 225-3115,Education and Workforce|Oversight and Government Reform
Kentucky,2,"Guthrie, Brett(link is external)",R,2161 RHOB,(202) 225-3501,Energy and Commerce
Kentucky,3,"McGarvey, Morgan(link is external)",D,1527 LHOB,(202) 225-5401,Budget|Small Business|Veterans' Affairs
Kentucky,4,"Massie, Thomas(link is external)",R,2371 RHOB,(202) 225-3465,Judiciary|Transportation and Infrastructure
Kentucky,5,"Rogers, Harold(link is external)",R,2406 RHOB,(202) 225-4601,Appropriations
Kentucky,6,"Barr, Andy(link is external)",R,2430 RHOB,(202) 225-4706,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China
Louisiana,1,"Scalise, Steve(link is external)",R,266 CHOB,(202) 225-3015,
Louisiana,2,"Carter, Troy(link is external)",D,442 CHOB,(202) 225-6636,Homeland Security|Energy and Commerce
Louisiana,3,"Higgins, Clay(link is external)",R,572 CHOB,(202) 225-2031,Armed Services|Oversight and Government Reform|Homeland Security
Louisiana,4,"Johnson, Mike(link is external)",R,521 CHOB,(202) 225-2777,
Louisiana,5,"Letlow, Julia(link is external)",R,142 CHOB,(202) 225-8490,Appropriations|Education and Workforce
Louisiana,6,"Fields, Cleo(link is external)",D,2349 RHOB,(202) 225-3901,Financial Services
Maine,1,"Pingree, Chellie(link is external)",D,2354 RHOB,(202) 225-6116,Agriculture|Appropriations
Maine,2,"Golden, Jared(link is external)",D,1107 LHOB,(202) 225-6306,Armed Services|Natural Resources
Maryland,1,"Harris, Andy(link is external)",R,1536 LHOB,(202) 225-5311,Appropriations
Maryland,2,"Olszewski, Johnny(link is external)",D,1339 LHOB,(202) 225-3061,Foreign Affairs|Small Business
Maryland,3,"Elfreth, Sarah(link is external)",D,1213 LHOB,(202) 225-4016,Armed Services|Natural Resources
Maryland,4,"Ivey, Glenn(link is external)",D,1610 LHOB,(202) 225-8699,Appropriations|Ethics
Maryland,5,"Hoyer, Steny(link is external)",D,1705 LHOB,(202) 225-4131,Appropriations
Maryland,6,"McClain Delaney, April(link is external)",D,1130 LHOB,(202) 225-2721,"Agriculture|Science, Space, and Technology"
Maryland,7,"Mfume, Kweisi(link is external)",D,2263 RHOB,(202) 225-4741,Foreign Affairs|Oversight and Government Reform
Maryland,8,"Raskin, Jamie(link is external)",D,2242 RHOB,(202) 225-5341,Judiciary
Massachusetts,1,"Neal, Richard(link is external)",D,372 CHOB,(202) 225-5601,Joint Committee on Taxation|Ways and Means
Massachusetts,2,"McGovern, James(link is external)",D,370 CHOB,(202) 225-6101,Agriculture|Rules
Massachusetts,3,"Trahan, Lori(link is external)",D,2233 RHOB,(202) 225-3411,Energy and Commerce
Massachusetts,4,"Auchincloss, Jake(link is external)",D,1524 LHOB,(202) 225-5931,Energy and Commerce
Massachusetts,5,"Clark, Katherine(link is external)",D,2368 RHOB,(202) 225-2836,
Massachusetts,6,"Moulton, Seth(link is external)",D,1126 LHOB,(202) 225-8020,Armed Services|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
Massachusetts,7,"Pressley, Ayanna(link is external)",D,402 CHOB,(202) 225-5111,Financial Services|Oversight and Government Reform
Massachusetts,8,"Lynch, Stephen(link is external)",D,2109 RHOB,(202) 225-8273,Financial Services|Oversight and Government Reform
Massachusetts,9,"Keating, William(link is external)",D,2372 RHOB,(202) 225-3111,Armed Services|Foreign Affairs
Michigan,1,"Bergman, Jack(link is external)",R,566 CHOB,(202) 225-4735,Armed Services|Budget|Veterans' Affairs
Michigan,2,"Moolenaar, John(link is external)",R,246 CHOB,(202) 225-3561,Appropriations|Select Comm on the Strategic Competition US and China
Michigan,3,"Scholten, Hillary(link is external)",D,1317 LHOB,(202) 225-3831,Transportation and Infrastructure|Small Business
Michigan,4,"Huizenga, Bill(link is external)",R,2232 RHOB,(202) 225-4401,Financial Services|Foreign Affairs
Michigan,5,"Walberg, Tim(link is external)",R,2266 RHOB,(202) 225-6276,Education and Workforce|Natural Resources
Michigan,6,"Dingell, Debbie(link is external)",D,102 CHOB,(202) 225-4071,Energy and Commerce|Natural Resources
Michigan,7,"Barrett, Tom(link is external)",R,1232 LHOB,(202) 225-4872,Transportation and Infrastructure|Veterans' Affairs
Michigan,8,"McDonald Rivet, Kristen(link is external)",D,1408 LHOB,(202) 225-3611,Agriculture|Transportation and Infrastructure
Michigan,9,"McClain, Lisa(link is external)",R,562 CHOB,(202) 225-2106,Financial Services|Education and Workforce
Michigan,10,"James, John(link is external)",R,1519 LHOB,(202) 225-4961,Energy and Commerce
Michigan,11,"Stevens, Haley(link is external)",D,2411 RHOB,(202) 225-8171,"Education and Workforce|Science, Space, and Technology|Select Comm on the Strategic Competition US and China"
Michigan,12,"Tlaib, Rashida(link is external)",D,2438 RHOB,(202) 225-5126,Financial Services|Oversight and Government Reform
Michigan,13,"Thanedar, Shri(link is external)",D,154 CHOB,(202) 225-5802,Agriculture|Homeland Security
Minnesota,1,"Finstad, Brad(link is external)",R,2418 RHOB,(202) 225-2472,Agriculture|Armed Services|Small Business
Minnesota,2,"Craig, Angie(link is external)",D,2052 RHOB,(202) 225-2271,Agriculture
Minnesota,3,"Morrison, Kelly(link is external)",D,1205 LHOB,(202) 225-2871,Small Business|Veterans' Affairs
Minnesota,4,"McCollum, Betty(link is external)",D,2426 RHOB,(202) 225-6631,Appropriations
Minnesota,5,"Omar, Ilhan(link is external)",D,1730 LHOB,(202) 225-4755,Budget|Education and Workforce
